"Data Source","World Development Indicators",

"Last Updated Date","2024-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","930167597.765363","1015642458.10056","1125139664.80447","1203910614.52514","1271508379.88827","1326530726.25698","1410932960.89385","1519882681.56425","1603608938.54749","1683195530.72626","1787459217.87709","1910011173.18436","2091321787.7095","2159234636.87151","2096083798.88268","2128377094.97207","2308632960.89386","2273022905.02793","2317821229.05028","2322534078.21229","2328516759.77654","2327948044.69274","2416910614.52514","2565458100.55866","2595608938.54749","2323831843.57542","2511137094.97207","2610944692.73743","",
"Africa Eastern and Southern","AFE","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","121234886426.68","129937408279.129","122068634777.969","97377205790.901","112488612356.444","145048613343.415","157431196327.97","168427984288.87","207941587781.159","226941198871.88","199310022512.325","195868140222.911","209461591793.525","234262124463.578","230790336495.283","246339341729.685","234530275167.091","230078076076.84","244376324270.811","217806353016.333","213408325953.274","285709158120.885","354623038160.225","403724755810.677","441662252263.336","499040684246.621","526779547101.053","561482492950.731","657411043523.116","732282667428.378","766314403445.115","782890689111.487","790355275579.245","743253098758.002","684775852762.573","765054463591.602","826355499041.282","816575013095.995","753739697910.447","862829294907.056","944430572844.687","1019094488626.4",
"Afghanistan","AFG","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","466666655.555556","477777737.777778","466666655.555556","702222244.444444","762222182.222222","995555555.555556","1422222222.22222","1711111100","1371111151.11111","1386666666.66667","1691108966.66667","1826664357.77778","1544444495.55556","1637777771.11111","1984444462.22222","2173333413.33333","2248888957.77778","2680000057.77778","2942222153.33333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22832090655.9564","15656157354.618","17323841807.9096","",
"Africa Western and Central","AFW","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9268942828.59716","11543957929.2371","13171618950.0044","17739321022.6874","23251235888.7992","30360580116.7711","40383014199.2586","43668272330.054","44279724918.1009","58374659005.3202","68191069977.3552","78311390790.2399","84900941077.2322","62602554388.8522","36883791476.1447","51670296689.6431","53101669311.7892","41500668026.7803","30469916058.6148","34939523982.57","57047981676.3946","50982721789.092",
"Albania","ALB","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","1350489522.14452","1365198170.16317","1510787487.5","1545825025","1571774975","1659124975","1660736837.5","1287582611.11111","1218994125.21241","1641562844.33558","2178256241.51286","2522368078.96653","3314540762.17842","2447593796.86435","2684992193.70204","3134797248.37075","3216796289.09505","3484217875.53947","3972822134.12836","5130526831.74818","6352358416.1386","7083953145.84861","7841922709.75545","9849229265.47421","12040547089.2979","11072098500.1598","10646773481.7781","11508045728.7072","10941453752.655","11633374284.0994","12201540481.6079","10453745503.384","10939629296.9773","11861807536.8788","13700540734.7943","14069133425.6883","14024839522.3194","15879406648.9567","16259232758.8375","19888453358.623",
"Andorra","AND","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","28178688940.9561","31103070447.7295","35147390094.1145","39256498011.4807","45598349839.8175","53492971531.456","69402496339.7429","95019882814.8919","115693962305.494","146208975615.207","176510905531.915","215828303070.44","258270358538.458","295426156340.269","331881700959.306","343531318016.349","354138388171.16","355317928304.673","363406949107.801","376147492341.985","376576523482.426","417721252278.71","497399568314.436","401534641115.589","381703164571.986","396614700410.458","402790796926.766","414462706172.292","435146613163.842","465918822408.06","475474527272.842","483696156285.107","501315958442.89","507564984379.828","513543128855.216","545471613137.783","620556900407.509","698675712783.326","809415576659.314","964630114443.92","1157919792766.22","1193319468628.93","1272905535568.25","1432213807515.07","1567960303670.71","1672575293807.18","1826251416422.87","1806806616109.18","1788017384194.91","1772435522600.18","1863942748016.46","1958371476028.14","1932247277415.93","2029524717921.48","2197232744457.38","2265379157038.36",
"United Arab Emirates","ARE","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71329996950.3063","78539648958.4752","84958535248.4684","102750490047.651","115984196514.636","139810327950.987","172367350932.607","207202731436.351","158522245827.093","151476538597.686","169551736746.086","156846944098.026","175245647270.252","190289734377.127","171335879972.771","173959205663.717","194803479128.659","211618507365.555","215044234526.889","190884966126.617","","","",
"Argentina","ARG","Final consumption expenditure (current US$)","NE.CON.TOTL.CD","","","","","","","","","","","","","","","","","","","","","","","","82990000000","87230000000","68035000000","85714893617.0213","87384579439.2523","99054857142.8571","59776066518.6375","113470563380.224","158920813529.103","194078180109.464","195824084384.384","213955318800","211354437000","220510438000","238353211100","243786711100","237777915000","236219366100","223201711200","72446391952.7293","95225639004.8535","124228047654.606","149393165256.55","176044924181.393","217144640947.557","277344288863.729","262658658519.665","336350991663.692","423645526478.417","445242277160.302","457042608919.298","433334542562.24","499614480942.488","464850766134.702","543457077463.243","447541629785.835","369714749181.543","318535694579.438","384118738457.691","510696144809.423","531371010636.397",
