Series Name,Series Code,Country Name,Country Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Afghanistan,AFG,68.0269040822312,72.083247177304,77.7379491783367,76.8135364354897,..,..,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Albania,ALB,119.1,107.989166666667,109.850833333333,108.65,103.52,113.041666666667,100.645
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Algeria,DZA,110.973016666667,116.593791666667,119.353558333333,126.7768,135.064058333333,141.994975,135.842933333333
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,American Samoa,ASM,..,..,..,..,..,..,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Andorra,AND,..,..,..,..,0.845376564367945,0.950915533962108,0.924709622987356
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Angola,AGO,165.915950691498,252.855747731297,364.825804980887,578.25878028011,631.441955506727,460.567511631462,685.020237761449
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Antigua and Barbuda,ATG,2.7,2.7,2.7,2.7,2.7,2.7,2.7
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Argentina,ARG,16.5627069251411,28.0949916666667,48.1478916666667,70.5391666666667,94.9907416666667,130.61655,296.258041666667
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Armenia,ARM,482.716393849129,482.987946590235,480.445128767119,489.008858590915,503.769674961652,435.6661796523,392.476302158971
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Aruba,ABW,1.79,1.79,1.79,1.79,1.79,1.79,1.79
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Australia,AUS,1.30475807671592,1.33841214646451,1.43850654421382,1.45308511847016,1.33122425957081,1.44166445896522,1.50519106560508
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Austria,AUT,..,..,..,..,..,..,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Azerbaijan,AZE,1.72115480222734,1.70001666666667,1.7,1.7,1.7,1.7,1.7
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,"Bahamas, The",BHS,1,1,1,1,1,1,1
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Bahrain,BHR,0.376,0.376,0.376,0.376,0.376,0.376,0.376
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Bangladesh,BGD,80.4375416666667,83.4662019166667,84.4535225,84.8713916666667,85.08376325,91.7454544396961,106.309484297483
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Barbados,BRB,2,2,2,2,2,2,2
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Belarus,BLR,1.93234166666667,2.03760833333333,2.09178333333333,2.439575,2.538675,2.6261,3.00735
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Belgium,BEL,..,..,..,..,..,..,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Belize,BLZ,2,2,2,2,2,2,2
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Benin,BEN,580.656749587853,555.446458398235,585.950813757166,574.294549649056,554.607798864163,622.912348249567,606.654982255763
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Bermuda,BMU,1,1,1,1,1,1,1
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Bhutan,BTN,65.121568645066,68.3894670935421,70.4203405359551,74.0995668836052,73.9180128154351,78.6044905829916,82.5992764460784
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Bolivia,BOL,6.91,6.91,6.91,6.91,6.91,6.91,6.91
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Bosnia and Herzegovina,BIH,1.73535271327691,1.65698544113543,1.74708646136073,1.71697049519219,1.65360615435868,1.85932587706093,1.80920280030082
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Botswana,BWA,10.3474166666667,10.199975,10.7558666666667,11.4562416666667,11.0872583333333,12.3688083333333,13.5963833333333
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Brazil,BRA,3.19138944630048,3.65382536145755,3.9444710972507,5.15517878751281,5.39440078962503,5.16397029102111,4.99437976287199
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,British Virgin Islands,VGB,..,..,..,..,..,..,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Brunei Darussalam,BRN,1.38089116405281,1.34891856542537,1.36421851405475,1.37970342971399,1.34380696297339,1.37895639652216,1.34307960114934
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Bulgaria,BGR,1.73545833333333,1.65704166666667,1.74704166666667,1.71633333333333,1.653775,1.86014166666667,1.80896666666667
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Burkina Faso,BFA,580.656749587858,555.446458398226,585.911013180369,575.586004510945,554.530675033104,623.759700911182,606.569750165917
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Burundi,BDI,1729.055,1782.876875,1845.62289069697,1915.04617583333,1975.95088138768,2034.30663430472,2574.05174879329
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Cabo Verde,CPV,97.8069377715121,93.4135789085279,98.4951785878976,96.7957427869885,93.2180924116109,104.863065846367,101.804812544702
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Cambodia,KHM,4050.5799859191,4051.16690028162,4061.14896313364,4092.78321900878,4098.72279505889,4102.03786482335,4110.65274641577
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Cameroon,CMR,580.656749587858,555.446458398226,585.911013180369,575.586004510945,554.530675033104,623.759700911182,606.569750165917
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Canada,CAN,1.29793584646039,1.29581792813534,1.32679336266012,1.34115267222386,1.2538769021268,1.30155477474355,1.3499086407939
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Cayman Islands,CYM,0.83333,0.83333,0.83333,0.83333,0.83333,0.83333,0.83333
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Central African Republic,CAF,580.656749587858,555.446458398226,585.911013180369,575.586004510945,554.530675033104,623.759700911182,606.569750165917
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Chad,TCD,580.656749587858,555.446458398226,585.911013180369,575.586004510945,554.530675033104,623.759700911182,606.569750165917
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Channel Islands,CHI,..,..,..,..,..,..,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Chile,CHL,648.833792598261,641.276813066395,702.897422561529,792.727206103168,758.955378658977,873.314189543014,840.066526651499
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,China,CHN,6.75875508633597,6.61595717735439,6.90838500992901,6.90076726944925,6.44897518024316,6.73715811237119,7.08399842343631
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Colombia,COL,2951.48691120161,2955.70396997842,3281.62219381788,3693.27583333333,3744.24416666667,4256.19416666667,4325.955
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Comoros,COM,435.492562190889,416.584843798676,439.463110317875,430.720912236792,415.955849148122,467.184261187176,454.991236691823
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,"Congo, Dem. Rep.",COD,1464.41793163743,1622.52350162292,1647.76012727639,1851.12216183261,1989.39147122828,..,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,"Congo, Rep.",COG,580.656749587858,555.446458398226,585.911013180369,575.586004510945,554.530675033104,623.759700911182,606.569750165917
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Costa Rica,CRI,567.51309030978,576.97250124808,587.294595686124,584.900854962304,620.784720014081,647.135817631363,544.050775505632
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Cote d'Ivoire,CIV,580.656749587858,555.446458398226,585.911013180369,575.586004510945,554.530675033104,623.759700911182,606.569750165917
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Croatia,HRV,6.623831,6.27902525,6.62254516666667,6.6140555,6.36008316666667,7.1597415,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Cuba,CUB,..,..,..,..,..,..,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Curacao,CUW,1.79,1.79,1.79,1.79,1.79,1.79,1.79
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Cyprus,CYP,..,..,..,..,..,..,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Czechia,CZE,23.3763333333333,21.7299166666667,22.93225,23.21025,21.6781666666667,23.357,22.1980833333333
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Denmark,DNK,6.60289346561404,6.31461878666667,6.669446615,6.54215220416667,6.2871130825,7.0761518625,6.88970258583333
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Djibouti,DJI,177.721,177.721,177.721,177.721,177.721,177.721,177.721
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Dominica,DMA,2.7,2.7,2.7,2.7,2.7,2.7,2.7
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Dominican Republic,DOM,47.5343581962482,49.5099928571429,51.2948583333333,56.5245333333333,57.2211166666667,55.1409916666667,56.1576
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Ecuador,ECU,1,1,1,1,1,1,1
