"Data Source","World Development Indicators",

"Last Updated Date","2024-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1121229050.27933","1195530726.25698","1264245810.05587","1326256983.24022","1377094972.06704","1393586592.17877","1346423463.68715","1266650837.98883","1282296089.38547","1458098882.68156","1606588826.81564","1595335195.53073","1742107262.56983","1863013966.48045","1606810055.86592","1477511731.84358","1839933519.55307","1911810055.86592","2088122905.02793","2184551396.64804","2158564245.81006","2142859776.53631","2243516759.77654","2367134078.21229","2486899441.34078","1415761229.05028","2143360223.46369","2946524357.5419","",
"Africa Eastern and Southern","AFE","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","49981964071.2327","42405904391.1626","36789230349.9824","37550747783.4374","35430417631.8676","32995172709.9415","37703204417.8435","47142974474.1741","49559299142.2677","49066269625.2585","52567140567.3467","51655365271.1611","52386122010.4747","54988797448.1052","58331959564.2171","67320068711.2526","70157032791.4496","71453327606.5933","67554055454.3257","66439517532.7787","74358799396.6899","71884928717.6605","75183522981.7725","92126966200.5277","115090713845.737","143691578123.714","172433740675.207","213495971419.543","253901686109.535","195929242589.199","251257871394.123","297016108323.176","285488671452.445","280983837656.591","279922674500.784","216244849609.122","192934874889.512","223979161028.442","256379225272.834","240591463555.333","204732254573.379","281717490233.376","326718547664.83","302899003835.375",
"Afghanistan","AFG","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","22222233.3333333","24444455.5555556","26666680","68888922.2222222","71111144.4444444","113333340","120000000","113333340","122222228.888889","142222222.222222","171111104.444444","199999988.888889","235555544.444444","224444437.777778","302222222.222222","300000006.666667","337777777.777778","344444451.111111","357777771.111111","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2079570874.83738","2046123147.09236","2665502824.85876","",
"Africa Western and Central","AFW","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8725779778.62591","9676099609.87075","13749775665.02","24225651509.9701","33245117538.7161","44319670720.5054","64168423018.915","41310610391.3885","51572807437.8831","67822781239.1048","71632968360.9542","67158241199.6324","60770402473.2912","26926846081.4949","14838933358.413","21373167719.7176","32444713329.5102","28919814315.7895","18583150427.353","31753057852.3914","46353087833.3139","33781308111.3496",
"Albania","ALB","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","335069930.06993","319090897.435897","327312512.5","333550012.5","348287487.5","418924987.5","312500000","82300000","81519209.6758071","189399541.45744","225407402.421557","302465325.386337","371808925.062831","230303544.648943","291949986.768987","540977914.554671","700083398.144547","836717875.539468","910729684.956035","1169850310.53175","1596261928.9261","1853023824.29106","2242665611.80661","3016116354.53989","3259293768.16654","3040047644.65753","3337086708.7743","3769456465.06531","3565050512.4285","3694413338.18786","3732057451.6496","3104897778.14706","3437126527.98196","4110301305.54485","4785179280.99214","4821429218.47484","3435540416.01473","5613909458.07573","7073859741.47037","9104536291.91714",
"Andorra","AND","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","282724367071.648","293110448222.982","353207016160.005","468587000835.117","630576326574.999","772935380776.461","898865077069.96","1199940352256.69","844665601490.13","1049543077597.54","1357349857825.25","1524031130580.87","1507350062960.89","1421951916088.17","1042989322707.64","953651585024.316","1093287998505.37","1289891302479.46","1249077432910.92","921893911752.067","","","",
"United Arab Emirates","ARE","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50787202178.3526","54362695711.3683","69538461538.4615","93968596324.03","122070878148.4","152433690946.222","186690265486.726","248808168822.328","201958883594.282","238328114363.513","315867937372.362","375513955071.477","392244520081.688","401366643975.494","361252552756.978","360626276378.489","384043567052.417","392863172226.004","404046289993.193","335237576582.709","","","",
"Argentina","ARG","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","10020000000","8575714285.71429","10376666666.6667","8669148936.17021","8584112149.53271","12098285714.2857","10006614069.0698","14643479947.2507","14561091033.0362","15095261860.4905","16357317317.3173","19385100000","24978532000","28381400000","30928400000","31137200000","27862300000","31223690400","31112418400","27736610298.2555","33084505277.8061","39266996605.7973","46198180131.0044","53550250227.3909","65162321195.025","79762958392.3012","65133480388.4946","80208867995.7171","97809980730.5834","88655850853.7721","80690471898.442","75818867911.0825","63671789068.8987","69842604407.3878","72860557902.7631","75766598613.0197","80259482469.139","64053810078.3073","87805815481.4708","102871975261.165","82760724361.7036",
