"Data Source","World Development Indicators",

"Last Updated Date","2024-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","263687150.837989","278212290.502793","361452513.96648","365921787.709497","376536312.849162","401284916.201117","471117318.435754","488307262.569832","499675977.653631","516055865.921788","538932960.893855","551329608.938547","573402234.636872","604094972.067039","634184357.541899","649348044.692737","662325698.324022","684607821.22905","714513966.480447","692793296.089386","689044692.73743","700782122.905028","711927374.301676","755849162.011173","764005586.592179","702832625.698324","678004636.871508","705509162.011173","",
"Africa Eastern and Southern","AFE","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","1448746050.49793","1602372314.17329","1842917231.55772","1971598446.1025","2296575497.9245","2568146498.02616","2828714882.01459","3083513102.30709","3419824288.00465","3880937659.59073","4337346781.70132","5068970441.8467","5256380004.18859","6460350070.73357","8110566746.03408","9538393005.98112","9891143661.68288","10986906927.8482","13304964024.9278","16322076344.1204","21952525116.799","23057404814.7178","22584952906.5247","23429731151.4075","23264935032.6759","19372614938.3351","22679527580.6883","29511192131.9243","30674705750.8445","31132438646.0247","37350942235.8859","41299631135.6668","41031849655.5963","40372394370.8047","42570120039.666","44048232703.7358","45029981133.9251","47286895427.6675","44254451795.5746","43522798339.258","44150488961.821","40838142451.559","40465999462.6941","56965354825.6782","70592247238.4688","78042262794.1297","84952186756.9384","97755945295.2903","106498799198.612","111675407745.185","132612473197.383","151549836421.367","154248594914.937","158773042607.622","156678721825.963","138915592506.576","127688920092.393","144709945388.713","150476655347.508","147255663062.865","140992548210.761","160019793735.911","170208039575.369","172719680329.354",
"Afghanistan","AFG","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4412100128.92726","3033397947.54846","3168067796.61017","",
"Africa Western and Central","AFW","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2924222253.29643","3892834735.23235","3370785319.8421","5926079446.72057","8036151470.69846","10140400358.8083","14887432594.31","13990137954.404","14281396196.0148","20385821008.7321","22848012194.2488","28614294308.4091","24440928316.5025","14871125503.3385","7323673931.01118","9532425303.88835","8322096952.82059","6096413923.53928","4255567408.60342","5124772676.01517","8101700426.4119","5389678749.68123",
"Albania","ALB","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","181118881.118881","182867121.212121","201624987.5","208000000","201124987.5","205750000","389249987.5","251527784.722222","139619502.215707","173511335.701164","275059004.738292","330850354.108795","302481316.624554","235969734.151329","276094734.056629","355118537.291818","337331814.899172","416760684.950578","492859483.01281","622787590.652833","805106330.34189","888246163.867772","936515671.626676","1118710228.94772","1336949990.25205","1338043119.82591","1330730183.98791","1414653368.29124","1336063344.64821","1408641841.56955","1514870022.75313","1265151722.70624","1336675997.34176","1497059888.47999","1710640286.72432","1747642735.67229","1796557752.41601","2135245681.99382","1925452600.58842","2546134431.91415",
"Andorra","AND","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","6470015016.26887","7286327240.096","8030340940.44574","9289286902.99758","11146962704.7974","13891358822.5752","19214414857.0321","27263403416.1671","35692405615.4338","40827222227.5695","52324378017.6643","63944017779.325","75172093478.4447","93053486409.5977","104572442008.39","107577608883.378","104579326979.949","101925371924.276","105098805935.428","107774105643.083","103956658028.75","107969931376.4","113681961241.795","106346547359.295","105485174760.042","95752546357.8408","93998225049.0638","94447002683.5736","102028909445.245","113358538912.507","115353913308.858","116915089593.7","129512736120.812","133086634374.561","133837608746.172","141350575915.42","164609800059.01","186638191005.7","212952860197.074","242907746127.462","283019585104.274","302815741833.505","335880054220.953","409608956311.725","444954034474.163","489235705932.712","536657322946.946","516463770593.117","478345517066.329","475783106528.662","515028654760.214","534417552029.745","534901429729.84","520146505824.22","570076215385.454","607447569149.657",
"United Arab Emirates","ARE","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10242340340.3676","11142485827.0933","12124060313.1382","12929750524.1661","14219278420.6944","15365627120.4901","17365487787.6106","23019664125.2553","25948399046.9707","29068775901.9741","34902893995.9156","36449312457.454","42851083185.8407","44070401007.4881","44511095983.6624","44725287978.2165","50945949625.5956","49902518720.2178","51225237413.2063","50499233955.0715","","","",
"Argentina","ARG","General government final consumption expenditure (current US$)","NE.CON.GOVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","5140186915.88785","5485714285.71429","3444040251.33462","4432011255.38107","6302044992.13424","6807403683.6718","31984701701.7017","33948366600","34445834100","34023284500","35324694300","37352911200","38908460700","39175188600","38037449000","11956773588.4449","14593470488.4092","18301129726.4273","24130382300.7642","28905507926.1954","37348269040.9027","49293062930.4651","52956236298.6285","64237667185.0303","83176277231.4325","90881156804.3051","92774657769.3512","89210530677.4557","107639984288.54","98429979465.6182","113902234012.834","82948293880.9877","73625384340.8139","65086024470.632","76788502390.054","97175134139.255","101204054678.792",
