"Data Source","World Development Indicators",

"Last Updated Date","2024-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1141899441.34078","1224022346.36872","1321229050.27933","1392737430.1676","1458100558.65922","1324284916.20112","1316033519.55307","1347128491.62011","1432167597.76536","1527994413.40782","1816622905.02793","1888111173.18436","2005849162.01117","2091921787.7095","1906100558.65922","1846245251.39665","2233917877.09497","2184788268.15642","2328027932.96089","2361241899.44134","2162351955.30726","2101055865.92179","2203529050.27933","2390329608.93855","2448675977.65363","1761437597.76536","2197997039.10615","2741287430.1676","",
"Africa Eastern and Southern","AFE","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51227463482.9823","54825978258.2448","51918505416.4297","51992954967.3278","59547371360.9906","71985955775.5836","73352627903.6431","76212683606.7646","74263425094.8886","69221898089.7806","75491542104.534","70350234591.881","75137986153.986","94594880484.0386","120611657032.139","146328456032.548","171421069853.683","211752443110.937","257319489310.28","226903533911.704","256161789121.991","305446616472.678","317708300583.264","329388374568.953","323962180729.565","277986462871.026","236040212577.324","259070148807.964","289144794439.351","269375694662.525","225512730676.936","286757012495.745","354966064141.533","349197388292.114",
"Afghanistan","AFG","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","37777780","44444446.6666667","51111111.1111111","126666717.777778","144444451.111111","215555548.888889","259999993.333333","237777784.444444","208888900","211111117.777778","208888900","295555548.888889","288888877.777778","255555562.222222","320000000","337777777.777778","380000006.666667","437777795.555556","457777788.888889","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7241822542.17594","5288529076.39681","7904463276.83616","",
"Africa Western and Central","AFW","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7370215354.13328","8831519471.79368","10645433208.9363","15181987450.0371","16320510961.119","26207262174.5562","43286269730.1256","44777840385.4964","35682251333.2141","43947410303.4287","45919732961.7043","47727897153.9588","47096036033.19","29985009888.782","13320025154.0847","17134965573.2132","20293075111.1607","12080150067.4291","13399763093.2307","17769653732.5989","26412539216.4033","22588391009.1429",
"Albania","ALB","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","372867132.867133","362610722.610723","336224987.5","335624987.5","408575012.5","483800000","487500000","314316659.722222","627952433.94529","764996711.818738","773426124.188629","836744255.238814","1064684048.35239","795638991.138378","933614580.576872","1097558435.916","1508343772.56819","1771127105.66616","2068787044.40985","2591005963.89867","3220867804.41529","3853672285.64373","4364190439.64205","5867640022.66823","6717539664.41036","6004538203.11457","5792187274.96813","6700234587.48787","5860879346.60531","5999382677.06795","6243003602.57869","5070977347.41792","5436220794.65131","6070375896.83265","6856194783.87124","6926959712.72243","5636282433.50207","8016544325.73416","9033376424.81865","10320399810.2241",
"Andorra","AND","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","175414130917.581","179874991376.455","178082748823.276","178885467597.624","165467779883.068","178837063111.642","184311626337.022","197467430917.596","200337391846.95","208548899699.732","228529032278.459","229285293305.63","236654158452.542","270382084288.322","346898307732.457","424992379969.254","504228827857.915","659699569981.739","851023104298.478","763277528550.617","793479266770.342","906199234303.932","1009097481139.19","1065866457368.17","1121904813713.42","1041596405421.46","965927654162.465","1018922849905.36","1062511796380.74","1095860140043.93","915938129560.942","1048235845304.43","","",
"United Arab Emirates","ARE","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42053369639.2104","47845064669.8434","57668073519.401","78428046289.9932","93862491490.8101","112930428863.172","166134240980.259","219714363512.594","187139823008.85","178610755616.065","215973042886.317","239748672566.372","252509462219.197","277888359428.182","266276378488.768","270442477876.106","290782845473.111","281535738597.685","295599807270.252","246886262682.097","","","",
"Argentina","ARG","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","6390000000","5374285714.28571","5546666666.66667","6717021276.59575","8259813084.11215","7884571428.57143","5041763121.8406","6546497152.31476","11531201153.6445","18606116033.8447","22049649649.6497","27299960000","26038017000","30148400000","37413700000","38667300000","32762700000","33070146000","27603881800","13065823829.1753","18772898618.6064","27736672323.6712","34392237786.5721","40480743015.8524","52567536062.3157","66316154417.0834","48268743529.5373","67937933972.3653","88838309449.3132","78013690406.706","81240190816.9153","73691675720.0984","70064879911.7042","75639254067.6608","89910495566.9384","85681309473.2328","65845624691.108","52454091268.1886","72860619870.7238","96884984785.9956","90018415643.8866",
