"Data Source","World Development Indicators",

"Last Updated Date","2024-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","6424581.00558659","12234636.8715084","6815642.45810056","3854748.60335196","9329608.93854749","16592178.7709497","6256983.24022346","18994413.4078212","47541899.4413408","10100558.6592179","6837988.82681564","-57296089.3854749","-64061452.5139665","-35916201.1173184","-16966480.4469274","-22360681.4850508","47877688.4364637","-60837988.8268156","-42625698.3240223","1899441.34078212","-8938547.48603352","-12625698.3240223","-143240223.463687","-79516279.9311756","-108886345.382801","-60662284.5129859","-38193421.4161538","93371587.7375218","-34152671.1818899","50376945.0332607","-190809686.257159","67062501.7228525","321957006.324954","",
"Africa Eastern and Southern","AFE","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","0","0","9981996.02521271","78370572.8485648","26581573.339764","66453024.6844597","47978886.2853406","80679314.0598525","99469761.4627858","-29571651.8682689","142704200.484206","-14623495.6263984","60619672.8145809","","","",
"Africa Western and Central","AFW","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-990000","2664000","1267025849.55","1439455260.52","2015419577.22","1757515638.31","490109724.9","270507746.86","52192360.85","-472459502.649626","249715798.74246","970909344.222005","-446218016.889951","-16634132.7257066","9124489.70549423","-3652764551.60403","-1675904716.18983","-1640362370.62915","34748540.7937287","-922852409.411998","-33451299.1628226",
"Albania","ALB","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","25000000","23500000","36820000","22485018","3641326","5664561.02209762","-34157087.6613144","-25810000","28335270.7861521","-15762588.5845743","-317665158.197693","-94043233.8509205","43630172.4375328","150201357.592124","155182028.008136","-254256925.350306","245500179.552936","-100676648.107193","-80670600.4553092","154704213.093612","-56789538.5462011","-92646610.2179157","601028649.497295","349390280.68982",
"Andorra","AND","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93757720.1193716","-233665203.653808","609467600.240197","1411968515.21053","",
"Arab World","ARB","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","66000000","1000000","-101000000","-222000000","-154000000","-1125000000","-1888000000","-1140000000","-759000000","507000000","365000000","96000000","656000000","-2618000000","1309000000","-483000000","-4860125449.35785","-34402472090.7518","-9461307995.40389","-2313489543.14596","-9594192048.84168","-11024422054.3811","-8787778449.39212","6784911598.1816","2583605593.93601","9503319279.61183","4640330000","7758080000","9415610000","386460000","-7239396788.73852","-7467962897.5237","7878589063.30987","2153143136.6226","-3262193616.41713","-143234156.27634","149918325.5722","-432585920.294057","2339430393.10179","-437238814.35021","-35255293855.0228","-35921739491.6229","-6923925325.96171","7108581725.31548","1570701777.06217","4940438117.63494","6898955726.72028","5420481191.46022",
"Armenia","ARM","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","-7220000","-15758800","15944000","-1640000","18868760.8171489","5710093.6090955","-1555182.48180069","-260345.564425926","2757763.81964186","2789183.60905935","-9353004.74096172","8005254.79474584","-11959925.8179122","4168083.36023515","-18299902.978233","8357151.82318582","-834407.27491822","-689445536.434187","38353674.5448023","-235401572.350259","-33712091.4263973","80687873.6531827","39904440.1394008","-28859828.9435775","43674072.5078935","-672026508.198996","1355929977.1575","-64467744.537488",
"American Samoa","ASM","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1381481.48148148","92592.5925925926","1592592.59259259","0","285185.185185185","-2685185.18518519","7581372.76323815","-3997357.38797511","18380984.09357","44058546.1923333","15391081.9927639","41872059.1208678","-9194110.90180433","-5075380.72485478","-51131914.9157663","-16577065.9454933","-45702807.7146737","-3188501.9589022","17197409.3761713","18151904.2637591","-661622.101606167","24205191.1424312","15526123.7549867","-15975624.2658161","66823994.1726167","24960053.3056311","-40031414.3306937","-2847642.43338443","44946897.4074074","79751355.9259259",
"Australia","AUS","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-8112295912.36159","-7566983509.70278","-9302902128.51707","736687172.402945","-8052294090.06582","-15975783689.0256","-12270826516.291","-20549055305.2339","-13092557939.5007","-3916797785.55801","-14086844719.2681","-4071338217.67303","-6371942604.39432","-339472612.554555","-41260991987.6558","-15943896031.8959","-32719174101.3441","-52557376877.6927","22457222489.8202","-34840884728.2394","-77154025053.5587","-74616646350.9827","-21897394712.0199","-7729926797.08169","-46631648977.5662","-20734377510.4902","-45211121943.9897","28733306856.0846","-24700550748.2452","9951778322.74133","31631975205.6272","2402822060.01106","84920492046.8941","-80265924101.3475","14893841039.4475",
"Austria","AUT","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13486166169.8905","-14464616321.0065","-30156335591.4615","-35794385278.1026","11020870945.4538","9928912012.12091","-22293917751.6163","-7456431452.07485","-2767331470.73615","16596452155.8874","15635864057.9655","26648727355.1776","21361937959.6275","4117919283.04939","-3835255637.33764","-13798766629.4253","12997343716.3785","206600997.497287","-17313419931.8441",
"Azerbaijan","AZE","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1658000","0","-1063000","-365000","","","","370000","10000","18071000","-30503000","12048000","26426000","347385000","138797000","138753000","316905000","-268114000","-718509000","-1321422000","-1080758000","-487854000","-2668891000","1240981000","388636730.488516","281845000","518996000","1793085000","682631000",
"Burundi","BDI","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","-4980626.46172678","-8712586.3738007","-2335874.35635027","48426631.9417475","-1226907.16483461","-4328797.50376925","-3375203.13526313","-4775187.5603422","-7009090.24917907","-8605166.42153614",
"Belgium","BEL","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-14458432463.0605","-590055393.264553","30531696813.2395","44624567668.2653","9222246422.85125","43001743271.4916","-47740894791.51","-40293613296.0901","27356904994.8053","23130834275.9063","-63169390964.541","-39847341454.0535","-19241546676.6602","-20874189176.7186","12688281840.197","12073676727.0043","-4085459372.14271","-7681097465.36752","23074049380.7461","9484451506.13396","142871239.447752","-23443983972.6996",
"Benin","BEN","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-286051.735805972","702803.031644955","4621603.87854039","-3796433.07752453","5563451.51540089","9068288.62957097","26391707.6254102","63902835.9999408","11648854.8335612","17162113.4746385","-26110608.8057744","-13784512.3747187","-3244120.13735833","1346263.11507198","1375208.03058379","8180757.12339732","697844.60339572","-16657867.6075664","-14593464.8621604","-18314631.1294259","-8966366.8800413","-91897946.8029393","123479604.887722","207751481.186052","172278538.870557","152285720.352164","79133407.5179531","168463006.296823","3337464.15782733","-235130669.017295","-421012.676315138","-24833944.5194977","510149173.762895","15860811.9431701","94976091.2048849","",
"Burkina Faso","BFA","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5285833.65846398","10166040.383386","55917498.0091206","69069500.3099956","39454092.0180601","208426022.437447","96573225.9283938","-32613442.9168232","-14005477.3600506","72847526.150312","400154463.802505","398922983.500349","-120119451.034551","-588901153.39521","-99907662.909862","518135049.805574","-196139231.317452","324009419.189249","",
"Bangladesh","BGD","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","-1267876.37525416","-1624686.98986763","7191558.36982505","0","64516.1290322581","0","-1704369.38332817","-280926.024903297","-2213918.75217054","-8729923.02192253","-8364969.87409752","-105861743.188208","15230807.241713","117042595.743109","9892244.72220706","4089360.45319831","1272619.05978124","-1292999.31062399","3369753.38448057","2557564.25454411","-1630080.79411755","-4292383.82373268","-19520520.669622","515596583.886253","-130689764.23305","-73893139.1102759","-220395177.034922","401115456.174752","1179681792.28364","696224.521673351","-126534154.970468","-967895754.520535","-203400248.400617","-42067755.3113699","178794068.453059","-22454139.713541","386409182.752973","190108974.503728","313402814.435346","323222901.943949","323196239.408157",
"Bulgaria","BGR","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","0","0","231800000","65700000","129300000","-132800000","241447376.413768","199408612.445177","176870810.331277","-64754423.6811251","83757787.0609157","211758373.352711","520991698.298314","1304132497.5338","-363441387.448538","836524082.755663","1076810246.75011","821842165.468204","851470000","485420000","1192850000","159850000","-1647760000","-665130000","-801880000","3257070000","1841090000","1792770000","812920000","2737930000","1197720000","1331670000",
"Bahrain","BHR","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","-96080910.4831376","-139029615.766033","-195121951.71268","33294332.3065858","41402713.5313554","-112732025.306777","-53191489.5031689","15957446.8509507","47872340.552852","0","28457446.8085106","26063829.787234","1861702.12765957","0","-1063829.78723404","-697606382.978723","1063031914.89362","1398138297.87234","1335372378.90036","453989403.96178","113326517.256361","779892260.845844","1150855772.91314","1011889398.19257","1992989829.98587","-194224286.46685","1478677032.52889","4224794603.0178","2407292216.27273","3504906723.72385","4614338266.06153","8831229098.08633","8559873691.42128","-9276881140.83141","-8275589373.03625","-4755789476.08181","-5583244680.85106","123003459.328412","4505291091.56795","700202150.094612","106746943.708454","-1834234672.36798","-3214893617.02128","1504255319.14894","-76595744.6808511","-2173670212.76596","1130319148.93617","-501063829.787242","-796808510.638298",
"Bahamas, The","BHS","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","1500000","-6900000","2300000","3200000","2300000","3000000","3200000","0","0","0","0","0","0","0","","","","","","","","","","","","","","0","","","18800000","7210000","21863975","16720000","25393000","44203000","36958000","52797000","20638115","12403833.33","21696500","16687500","11700000","269884723.93","-656813029.52","447114000","-99839000","",
