Date,Close/Last,Open,High,Low
10/22/2024,19653.36,19720.32,19720.32,19579.84
10/21/2024,19720.32,19884.81,19884.81,19690.32
10/18/2024,19884.81,19855.26,19905.65,19808.99
10/17/2024,19855.26,19825.49,19901.49,19825.49
10/16/2024,19825.49,19678.71,19838.29,19678.71
10/15/2024,19678.71,19814.55,19814.55,19669.80
10/14/2024,19814.55,19711.22,19834.18,19690.54
10/11/2024,19711.22,19496.01,19719.61,19496.01
10/10/2024,19496.01,19547.09,19547.09,19452.91
10/09/2024,19547.09,19435.03,19560.92,19388.12
10/08/2024,19435.03,19432.30,19452.82,19370.30
10/07/2024,19432.30,19538.68,19538.68,19367.29
10/04/2024,19538.68,19387.68,19541.03,19387.68
10/03/2024,19387.68,19481.79,19481.79,19317.15
10/02/2024,19481.79,19473.93,19506.25,19403.84
10/01/2024,19473.93,19516.44,19529.07,19384.83
09/30/2024,19516.44,19501.22,19526.69,19352.42
09/27/2024,19501.22,19501.72,19597.32,19484.75
09/26/2024,19501.72,19381.18,19527.82,19381.18
09/25/2024,19381.18,19506.55,19528.59,19363.21
09/24/2024,19506.55,19445.43,19519.34,19445.43
09/23/2024,19445.43,19373.74,19458.77,19373.74
09/20/2024,19373.74,19432.42,19432.42,19297.87
09/19/2024,19432.42,19195.56,19471.24,19195.56
09/18/2024,19195.56,19225.78,19400.35,19185.97
09/17/2024,19225.78,19256.38,19331.59,19176.51
09/16/2024,19256.38,19121.50,19265.16,19121.50
09/13/2024,19121.50,18987.90,19161.17,18987.90
09/12/2024,18987.90,18866.63,19001.12,18806.23
09/11/2024,18866.63,18822.22,18876.86,18513.07
09/10/2024,18822.22,18859.69,18892.24,18684.90
09/09/2024,18859.69,18663.14,18932.64,18663.14
09/06/2024,18663.14,18878.02,18970.69,18639.83
09/05/2024,18878.02,19001.92,19040.53,18819.28
09/04/2024,19001.92,19017.42,19092.99,18946.12
09/03/2024,19017.42,19292.23,19292.23,18954.16
08/30/2024,19292.23,19149.54,19298.03,19088.49
08/29/2024,19149.54,19064.43,19237.06,19053.17
08/28/2024,19064.43,19119.31,19150.19,18985.21
08/27/2024,19119.31,19100.40,19127.43,19069.54
08/26/2024,19100.40,19093.48,19184.72,19086.15
08/23/2024,19093.48,18850.85,19099.53,18850.85
08/22/2024,18850.85,18902.50,18945.86,18810.19
08/21/2024,18902.50,18802.24,18913.90,18802.24
08/20/2024,18802.24,18882.04,18883.11,18770.98
