Date,Close/Last,Open,High,Low
10/22/2024,2735.99,2735.99,2747.97,2715.15
10/21/2024,2743.08,2743.08,2760.90,2738.30
10/18/2024,2752.24,2748.47,2763.36,2739.82
10/17/2024,2754.37,2754.37,2762.92,2731.79
10/16/2024,2732.70,2732.70,2745.37,2729.85
10/15/2024,2744.93,2744.93,2790.92,2744.93
10/14/2024,2770.47,2770.47,2772.49,2752.96
10/11/2024,2768.74,2755.34,2773.17,2735.44
10/10/2024,2742.11,2742.11,2763.60,2735.43
10/09/2024,2749.57,2749.57,2751.71,2733.71
10/08/2024,2743.71,2743.71,2753.97,2730.58
10/07/2024,2759.41,2759.41,2761.53,2728.49
10/04/2024,2734.39,2736.84,2743.30,2714.29
10/03/2024,2726.77,2726.77,2751.63,2723.25
10/02/2024,2749.61,2749.61,2761.07,2733.63
10/01/2024,2752.61,2752.61,2783.38,2744.21
09/30/2024,2766.90,2766.90,2796.96,2759.02
09/27/2024,2790.17,2793.11,2806.33,2783.35
09/26/2024,2816.90,2816.90,2837.29,2812.35
09/25/2024,2800.35,2800.35,2817.01,2780.01
09/24/2024,2787.08,2787.08,2800.73,2773.35
09/23/2024,2773.45,2773.45,2794.39,2764.73
09/20/2024,2784.41,2803.71,2851.12,2775.93
09/19/2024,2845.46,2845.46,2855.64,2830.53
09/18/2024,2803.51,2803.51,2829.27,2800.16
09/17/2024,2835.63,2835.63,2848.99,2822.34
09/16/2024,2834.72,2834.72,2854.12,2829.55
09/13/2024,2836.42,2822.79,2841.61,2820.92
09/12/2024,2806.91,2806.91,2820.19,2795.08
09/11/2024,2757.79,2757.79,2785.10,2749.09
09/10/2024,2745.30,2745.30,2770.80,2741.44
09/09/2024,2765.75,2765.75,2779.56,2759.77
09/06/2024,2752.39,2789.21,2797.67,2750.17
09/05/2024,2775.31,2775.31,2817.34,2772.67
09/04/2024,2809.15,2809.15,2818.28,2795.15
09/03/2024,2851.00,2851.00,2891.42,2848.33
08/30/2024,2874.44,2878.46,2879.07,2857.31
08/29/2024,2865.10,2865.10,2866.06,2829.58
08/28/2024,2828.03,2828.03,2835.60,2817.15
08/27/2024,2820.70,2820.70,2832.51,2794.45
08/26/2024,2820.45,2820.45,2826.85,2813.77
08/23/2024,2823.99,2825.10,2833.05,2812.88
08/22/2024,2820.45,2820.45,2832.15,2792.58
08/21/2024,2792.23,2792.23,2811.82,2783.95
08/20/2024,2800.32,2800.32,2821.92,2797.71
08/19/2024,2814.56,2814.56,2818.02,2791.92
08/16/2024,2794.14,2786.42,2804.99,2785.84
08/15/2024,2800.26,2800.26,2806.78,2766.19
08/14/2024,2764.89,2764.89,2772.25,2753.08
08/13/2024,2758.44,2758.44,2758.49,2718.65
08/12/2024,2726.18,2726.18,2756.38,2724.02
08/09/2024,2753.63,2721.89,2753.90,2713.50
08/08/2024,2698.59,2698.59,2701.11,2644.86
08/07/2024,2670.30,2670.30,2713.68,2636.89
08/06/2024,2678.08,2678.08,2699.00,2644.66
08/05/2024,2636.64,2636.64,2661.45,2573.87
08/02/2024,2710.06,2741.11,2786.78,2707.06
08/01/2024,2808.55,2808.55,2847.48,2805.84
07/31/2024,2834.35,2834.35,2842.27,2814.27
07/30/2024,2803.18,2803.18,2814.35,2783.69
07/29/2024,2771.30,2771.30,2787.46,2758.22
07/26/2024,2758.18,2752.94,2767.13,2745.02
07/25/2024,2752.94,2752.94,2756.64,2723.50
07/24/2024,2779.89,2779.89,2816.23,2775.78
07/23/2024,2807.92,2807.92,2821.66,2794.40
07/22/2024,2800.22,2800.22,2814.90,2792.67
07/19/2024,2783.04,2793.03,2795.63,2774.29
07/18/2024,2785.89,2785.89,2829.74,2785.51
07/17/2024,2814.17,2814.17,2844.32,2806.95
07/16/2024,2866.73,2866.73,2870.87,2850.88
07/15/2024,2870.61,2870.61,2902.12,2866.00
07/12/2024,2911.59,2887.62,2913.61,2875.37
07/11/2024,2876.15,2876.15,2886.37,2858.99
07/10/2024,2862.73,2862.73,2862.77,2834.23
07/09/2024,2837.66,2837.66,2868.57,2834.96
07/08/2024,2875.92,2875.92,2886.64,2864.02
07/05/2024,2870.99,2891.37,2897.14,2863.46
07/03/2024,2878.70,2862.39,2889.83,2858.87
07/02/2024,2875.77,2875.77,2898.93,2847.70
07/01/2024,2904.10,2904.10,2921.46,2889.58
06/28/2024,2895.46,2895.78,2910.73,2889.02
06/27/2024,2889.21,2889.21,2907.65,2887.67
06/26/2024,2911.39,2911.39,2948.01,2906.70
