Series Name,Series Code,Country Name,Country Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Afghanistan,AFG,..,..,..,..,..,..,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Albania,ALB,..,..,..,..,..,..,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Algeria,DZA,..,..,..,..,..,..,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,American Samoa,ASM,..,..,..,..,..,..,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Andorra,AND,..,..,..,..,..,..,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Angola,AGO,..,..,..,..,..,..,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Antigua and Barbuda,ATG,..,..,..,..,..,..,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Argentina,ARG,6592777693.4465,4571170000,2983330000,2849900000,2619420000,7960630000,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Armenia,ARM,..,20000,80000,..,370000,2440000,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Aruba,ABW,..,..,..,..,..,..,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Australia,AUS,842771714903.792,774026910000,834226020000,1226164220000,1068194840000,1089439990000,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Austria,AUT,39986893431.8602,39431840000,33479930000,39779610000,35245190000,37394110000,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Azerbaijan,AZE,..,..,1980000,17620000,7290000,2280000,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,"Bahamas, The",BHS,..,..,..,..,..,..,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Bahrain,BHR,562999038.223297,969890000,759730000,592970000,559100000,430980000,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Bangladesh,BGD,26503040000,16142130000,13126870000,14920160000,41332840000,22789350000,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Barbados,BRB,..,11220000,13790000,6260000,220000,..,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Belarus,BLR,21990000,14200000,14970000,6050000,8440000,7630000,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Belgium,BEL,..,..,..,..,..,..,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Belize,BLZ,..,..,..,..,..,..,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Benin,BEN,..,..,..,..,..,..,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Bermuda,BMU,39140000,49150000,43780000,24290000,22640000,12660000,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Bhutan,BTN,..,..,..,..,..,..,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Bolivia,BOL,..,..,..,..,..,..,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Botswana,BWA,..,158440000,159590000,63150000,153610000,89180000,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Brazil,BRA,642502620122.419,769196110000,1038725260000,1373595920000,1409724270000,1292158980000,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,British Virgin Islands,VGB,..,..,..,..,..,..,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Brunei Darussalam,BRN,..,..,..,..,..,..,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Bulgaria,BGR,..,210180000,170420000,212590000,288950000,357890000,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Burkina Faso,BFA,..,..,..,..,..,..,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Burundi,BDI,..,..,..,..,..,..,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Cabo Verde,CPV,..,..,..,..,..,..,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Cambodia,KHM,..,..,..,..,..,..,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Cameroon,CMR,..,..,..,..,..,..,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Canada,CAN,1280149390000,1373654880000,1432565050000,1954060880000,2189944900000,2249248630000,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Cayman Islands,CYM,..,440000,3480000,1300000,..,..,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Central African Republic,CAF,..,..,..,..,..,..,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Chad,TCD,..,..,..,..,..,..,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Channel Islands,CHI,..,..,..,..,..,..,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Chile,CHL,38092071235.1455,45747320000,37944140000,41468860000,41881150000,41196010000,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,China,CHN,17223330026369.8,13070642240000,18249424550000,31583538490000,40359993540000,32462598490000,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Colombia,COL,13865382953.3394,13662420000,13904860000,10000100000,7167570000,6502170000,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Comoros,COM,..,..,..,..,..,..,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,"Congo, Dem. Rep.",COD,..,..,..,..,..,..,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,"Congo, Rep.",COG,..,..,..,..,..,..,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Costa Rica,CRI,55370000,46230000,36600000,30280000,32310000,43710000,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Cote d'Ivoire,CIV,..,..,150790000,169100000,..,..,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Croatia,HRV,432312165.65728,247230000,328510000,372870000,261930000,243640000,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Cuba,CUB,..,..,..,..,..,..,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Curacao,CUW,..,..,..,..,..,..,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Cyprus,CYP,69126963.589139,55760000,56020000,38970000,28650000,46250000,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Czechia,CZE,..,5159310000,3830590000,4228900000,5011980000,5655140000,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Denmark,DNK,..,..,..,..,..,..,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Djibouti,DJI,..,..,..,..,..,..,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Dominica,DMA,..,..,..,..,..,..,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Dominican Republic,DOM,..,..,..,..,..,..,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Ecuador,ECU,..,..,..,..,..,..,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,"Egypt, Arab Rep.",EGY,14428816885.2011,14477620000,10704050000,16081080000,20987020000,11224440000,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,El Salvador,SLV,..,..,..,..,..,..,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Equatorial Guinea,GNQ,..,..,..,..,..,..,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Eritrea,ERI,..,..,..,..,..,..,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Estonia,EST,..,..,..,..,..,..,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Eswatini,SWZ,..,..,..,..,..,..,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Ethiopia,ETH,..,..,..,..,..,..,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Faroe Islands,FRO,..,..,..,..,..,..,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Fiji,FJI,..,..,..,..,..,..,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Finland,FIN,..,..,..,..,..,..,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,France,FRA,..,..,..,..,..,..,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,French Polynesia,PYF,..,..,..,..,..,..,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Gabon,GAB,..,..,..,..,..,..,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,"Gambia, The",GMB,..,..,..,..,..,..,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Georgia,GEO,..,..,..,..,..,..,..
"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,Germany,DEU,1558599058819.02,1629641870000,1362905830000,1835769070000,1526211440000,1292671760000,..
