Economy_Label,Year,Total fonction_Dollars_des_tatsUnis_aux_prix_courants_en_millions_Value,Total fonction_US_dollars_at_current_prices_Footnote,Total fonction_US_dollars_at_current_prices_MissingValue,"Agriculture, sylviculture, peche et chasse_Dollars_des_tatsUnis_aux_prix_courants_en_millions_Value","Agriculture, sylviculture, peche et chasse_US_dollars_at_current_prices_Footnote","Agriculture, sylviculture, peche et chasse_US_dollars_at_current_prices_MissingValue","Industries extractives et manufacturieres, construction_Dollars_des_tatsUnis_aux_prix_courants_en_millions_Value","Industries extractives et manufacturieres, construction_US_dollars_at_current_prices_Footnote","Industries extractives et manufacturieres, construction_US_dollars_at_current_prices_MissingValue",Transports_Dollars_des_tatsUnis_aux_prix_courants_en_millions_Value,Transports_US_dollars_at_current_prices_Footnote,Transports_US_dollars_at_current_prices_MissingValue,Communications_Dollars_des_tatsUnis_aux_prix_courants_en_millions_Value,Communications_US_dollars_at_current_prices_Footnote,Communications_US_dollars_at_current_prices_MissingValue,Combustibles et energie_Dollars_des_tatsUnis_aux_prix_courants_en_millions_Value,Combustibles et energie_US_dollars_at_current_prices_Footnote,Combustibles et energie_US_dollars_at_current_prices_MissingValue,Protection de l'environnement_Dollars_des_tatsUnis_aux_prix_courants_en_millions_Value,Protection de l'environnement_US_dollars_at_current_prices_Footnote,Protection de l'environnement_US_dollars_at_current_prices_MissingValue,Logement et developpement collectif_Dollars_des_tatsUnis_aux_prix_courants_en_millions_Value,Logement et developpement collectif_US_dollars_at_current_prices_Footnote,Logement et developpement collectif_US_dollars_at_current_prices_MissingValue,Sante_Dollars_des_tatsUnis_aux_prix_courants_en_millions_Value,Sante_US_dollars_at_current_prices_Footnote,Sante_US_dollars_at_current_prices_MissingValue,Enseignement_Dollars_des_tatsUnis_aux_prix_courants_en_millions_Value,Enseignement_US_dollars_at_current_prices_Footnote,Enseignement_US_dollars_at_current_prices_MissingValue,Securite sociale et oeuvres sociales_Dollars_des_tatsUnis_aux_prix_courants_en_millions_Value,Securite sociale et oeuvres sociales_US_dollars_at_current_prices_Footnote,Securite sociale et oeuvres sociales_US_dollars_at_current_prices_MissingValue,Services generaux des administrations publiques_Dollars_des_tatsUnis_aux_prix_courants_en_millions_Value,Services generaux des administrations publiques_US_dollars_at_current_prices_Footnote,Services generaux des administrations publiques_US_dollars_at_current_prices_MissingValue,Defense nationale_Dollars_des_tatsUnis_aux_prix_courants_en_millions_Value,Defense nationale_US_dollars_at_current_prices_Footnote,Defense nationale_US_dollars_at_current_prices_MissingValue,Ordre et securite publics_Dollars_des_tatsUnis_aux_prix_courants_en_millions_Value,Ordre et securite publics_US_dollars_at_current_prices_Footnote,Ordre et securite publics_US_dollars_at_current_prices_MissingValue,"Loisirs, culture et cultes_Dollars_des_tatsUnis_aux_prix_courants_en_millions_Value","Loisirs, culture et cultes_US_dollars_at_current_prices_Footnote","Loisirs, culture et cultes_US_dollars_at_current_prices_MissingValue","Tutelle de l'economie generale, des echanges et de l'emploi_Dollars_des_tatsUnis_aux_prix_courants_en_millions_Value","Tutelle de l'economie generale, des echanges et de l'emploi_US_dollars_at_current_prices_Footnote","Tutelle de l'economie generale, des echanges et de l'emploi_US_dollars_at_current_prices_MissingValue",Autres branches d'activite_Dollars_des_tatsUnis_aux_prix_courants_en_millions_Value,Autres branches d'activite_US_dollars_at_current_prices_Footnote,Autres branches d'activite_US_dollars_at_current_prices_MissingValue,RetD concernant les affaires economiques_Dollars_des_tatsUnis_aux_prix_courants_en_millions_Value,RetD concernant les affaires economiques_US_dollars_at_current_prices_Footnote,RetD concernant les affaires economiques_US_dollars_at_current_prices_MissingValue,Affaires economiques n.c.a._Dollars_des_tatsUnis_aux_prix_courants_en_millions_Value,Affaires economiques n.c.a._US_dollars_at_current_prices_Footnote,Affaires economiques n.c.a._US_dollars_at_current_prices_MissingValue,Autres_Dollars_des_tatsUnis_aux_prix_courants_en_millions_Value,Autres_US_dollars_at_current_prices_Footnote,Autres_US_dollars_at_current_prices_MissingValue
Afghanistan,2006,2229,,,104,,,7,,,443,,,50,,,183,,,37,,,36,,,96,,,324,,,61,,,244,,,153,,,216,,,22,,,,,,,,,,,,,,,,,
Afghanistan,2007,3303,,,246,,,30,,,330,,,76,,,280,,,12,,,106,,,203,,,357,,,116,,,357,,,256,,,299,,,40,,,,,,,,,,,,,,,,,
Afghanistan,2008,9288,,,276,,,14,,,416,,,42,,,254,,,14,,,108,,,238,,,451,,,184,,,291,,,4442,,,2194,,,40,,,,,,,,,,,,,,,,,
Afghanistan,2009,8940,,,381,,,15,,,331,,,23,,,119,,,27,,,140,,,268,,,580,,,146,,,583,,,3770,,,2094,,,45,,,,,,,,,,,,,,,,,
Afghanistan,2010,12898,,,604,,,44,,,655,,,173,,,272,,,17,,,96,,,393,,,825,,,824,,,787,,,4193,,,3402,,,59,,,,,,,,,,,,,,,,,
Afghanistan,2011,17212,,,,,,,,,,,,,,,,,,65,,,124,,,667,,,886,,,367,,,1102,,,6648,,,4467,,,75,,,,,,,,,,,,,,,,,
Afghanistan,2012,13683,,,,,,,,,,,,,,,,,,56,,,110,,,444,,,888,,,319,,,1082,,,5528,,,2895,,,68,,,,,,,,,,,,,,,,,
Afghanistan,2013,13417,,,243,,,11,,,358,,,32,,,50,,,60,,,73,,,367,,,957,,,198,,,623,,,6246,,,2921,,,60,,,,,,,,,,,,,,,,,
Afghanistan,2014,12258,,,,,,,,,283,,,,,,,,,39,,,45,,,434,,,976,,,514,,,671,,,5124,,,2581,,,50,,,,,,,,,,,,,,,,,
Afghanistan,2015,11106,,,,,,,,,,,,,,,,,,18,,,58,,,302,,,809,,,293,,,562,,,5122,,,2547,,,43,,,,,,,,,,,,,,,,,
Afghanistan,2016,9299,,,312,,,38,,,468,,,39,,,233,,,25,,,255,,,365,,,768,,,508,,,631,,,3469,,,1741,,,56,,,187,,,198,,,8,,,0,,,,,
Afghanistan,2017,9096,,,288,,,31,,,399,,,50,,,327,,,35,,,122,,,406,,,746,,,374,,,528,,,3303,,,1781,,,60,,,415,,,217,,,13,,,0,,,,,
Albania,2005,2324,,,50,,,0,,,187,,,0,,,25,,,0,,,141,,,216,,,264,,,610,,,573,,,84,,,142,,,31,,,0,,,0,,,0,,,0,,,,,
Albania,2006,2637,,,57,,,0,,,311,,,0,,,34,,,0,,,149,,,217,,,284,,,701,,,569,,,117,,,165,,,33,,,0,,,0,,,0,,,0,,,,,
Albania,2007,3158,,,,,,,,,,,,,,,,,,1,,,140,,,267,,,350,,,856,,,601,,,127,,,168,,,36,,,,,,,,,,,,,,,,,
Albania,2008,4189,,,,,,,,,,,,,,,,,,2,,,197,,,318,,,452,,,1026,,,854,,,143,,,193,,,48,,,,,,,,,,,,,,,,,
Albania,2010,3544,,,,,,,,,,,,,,,,,,1,,,225,,,314,,,407,,,982,,,699,,,128,,,186,,,38,,,,,,,,,,,,,,,,,
Albania,2011,3760,,,62,,,3,,,446,,,0,,,0,,,7,,,235,,,349,,,418,,,1065,,,774,,,126,,,208,,,45,,,18,,,1,,,2,,,1,,,,,
Albania,2012,3506,,,55,,,3,,,351,,,0,,,19,,,4,,,211,,,346,,,408,,,1055,,,676,,,118,,,196,,,44,,,17,,,1,,,2,,,1,,,,,
Albania,2013,3715,,,65,,,2,,,461,,,0,,,,,,6,,,233,,,358,,,430,,,1169,,,773,,,127,,,195,,,39,,,9,,,1,,,2,,,2,,,,,
Albania,2014,3873,,,67,,,5,,,288,,,0,,,56,,,9,,,285,,,363,,,426,,,1221,,,734,,,108,,,224,,,56,,,12,,,1,,,2,,,15,,,,,
Albania,2015,3375,,,66,,,6,,,285,,,0,,,59,,,11,,,220,,,312,,,352,,,1041,,,638,,,82,,,199,,,51,,,9,,,1,,,2,,,41,,,,,
Albania,2016,3427,,,101,,,6,,,235,,,0,,,4,,,22,,,204,,,337,,,371,,,1122,,,673,,,83,,,205,,,51,,,9,,,2,,,1,,,1,,,,,
