Economy_Label,2010_Index_Base_2010_Value,2010_Index_Base_2010_Footnote,2010_Index_Base_2010_MissingValue,2011_Index_Base_2010_Value,2011_Index_Base_2010_Footnote,2011_Index_Base_2010_MissingValue,2012_Index_Base_2010_Value,2012_Index_Base_2010_Footnote,2012_Index_Base_2010_MissingValue,2013_Index_Base_2010_Value,2013_Index_Base_2010_Footnote,2013_Index_Base_2010_MissingValue,2014_Index_Base_2010_Value,2014_Index_Base_2010_Footnote,2014_Index_Base_2010_MissingValue,2015_Index_Base_2010_Value,2015_Index_Base_2010_Footnote,2015_Index_Base_2010_MissingValue,2016_Index_Base_2010_Value,2016_Index_Base_2010_Footnote,2016_Index_Base_2010_MissingValue,2017_Index_Base_2010_Value,2017_Index_Base_2010_Footnote,2017_Index_Base_2010_MissingValue,2018_Index_Base_2010_Value,2018_Index_Base_2010_Footnote,2018_Index_Base_2010_MissingValue,2019_Index_Base_2010_Value,2019_Index_Base_2010_Footnote,2019_Index_Base_2010_MissingValue,2020_Index_Base_2010_Value,2020_Index_Base_2010_Footnote,2020_Index_Base_2010_MissingValue,2021_Index_Base_2010_Value,2021_Index_Base_2010_Footnote,2021_Index_Base_2010_MissingValue,2022_Index_Base_2010_Value,2022_Index_Base_2010_Footnote,2022_Index_Base_2010_MissingValue
"Afghanistan",100,,,112.2,,,80,,,72.1,,,75.5,,,74.3,,,75.9,,,67.9,,,68.3,,,69.9,,,73.8,,,77.6,,,88.2,,
"Albania",100,,,103.4,,,105.5,,,107.6,,,109.3,,,111.4,,,112.8,,,115,,,117.4,,,119,,,120.9,,,123.4,,,131.7,,
"Algeria",100,,,104.5,,,113.8,,,117.5,,,120.9,,,126.7,,,134.8,,,142.4,,,148.5,,,151.4,,,155,,,166.2,,,181.6,,
"Andorra",100,,,102.6,,,104.1,,,104.5,,,104.4,,,103.3,,,102.8,,,105.5,,,106.5,,,107.1,,,107.2,,,109,,,115.8,,
"Angola",100,,,113.5,,,125.2,,,136.1,,,146.1,,,159.5,,,208.4,,,270.6,,,323.7,,,379,,,463.5,,,582.9,,,707.4,,
"Anguilla",100,,,104.7,,,106.2,,,106.4,,,106.1,,,105.1,,,104.5,,,105.9,,,106.3,,,107.1,,,106.6,,,108.5,,,111.8,,
"Antigua and Barbuda",100,,,103.5,,,107,,,108.1,,,109.3,,,110.3,,,109.8,,,112.5,,,113.8,,,115.4,,,116.7,,,118.6,,,127.5,,
"Argentina",100,,,109.8,,,120.8,,,133.6,,,162.2,,,197,,,276.8,,,347.8,,,466.6,,,713,,,1001.6,,,1473.4,,,2550.9,,
"Armenia",100,,,107.5,,,110.2,,,116.5,,,120,,,124.4,,,122.6,,,124.1,,,127.2,,,129,,,130.6,,,140,,,152.1,,
"Aruba",100,,,104.4,,,105,,,102.5,,,102.9,,,103.4,,,102.4,,,101.4,,,105.1,,,109.2,,,107.8,,,108.6,,,114.6,,
