Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
GDP (current US$),NY.GDP.MKTP.CD,Afghanistan,AFG,15856668555.8336,17805098206.3141,19907329777.5872,20146416757.5987,20497128555.6972,19134221644.7325,18116572395.0772,18753456497.8159,18053222687.4126,18799444490.1128,19955929052.1496,14266499429.8746,14502158192.0904,..
GDP (current US$),NY.GDP.MKTP.CD,Albania,ALB,11926926615.8015,12890760315.146,12319834195.331,12776224496.9718,13228147516.1168,11386853113.0189,11861199830.8396,13019726211.7369,15156424015.1977,15401826127.2539,15162734205.2462,17930565118.8176,18916378860.5488,22977677860.7979
GDP (current US$),NY.GDP.MKTP.CD,Algeria,DZA,177785053939.531,218331946925.304,227143746075.934,229701430292.157,238942664192.59,187493855609.345,180763839522.151,189880896903.073,194554483655.528,193459662090.677,164873415325.201,186265418570.697,225560256621.757,239899491127.742
GDP (current US$),NY.GDP.MKTP.CD,American Samoa,ASM,573000000,570000000,640000000,638000000,643000000,673000000,671000000,612000000,639000000,647000000,721000000,750000000,871000000,..
GDP (current US$),NY.GDP.MKTP.CD,Andorra,AND,3449925738.86069,3629133574.27783,3188652765.36184,3193512950.02419,3271685596.66321,2789881258.50362,2896610479.73077,3000162081.11976,3218419896.9641,3155149347.80639,2891001149.3611,3324683011.5903,3380602042.84283,3727673593.01922
GDP (current US$),NY.GDP.MKTP.CD,Angola,AGO,83799474069.7315,111789747670.59,128052915766.343,132339109040.232,135966802586.713,90496420506.5957,52761617225.9253,73690154990.7312,79450688259.3664,70897962732.0277,48501561203.5686,66505129987.7235,104399746853.401,84722957642.3757
GDP (current US$),NY.GDP.MKTP.CD,Antigua and Barbuda,ATG,1298255555.55556,1281337037.03704,1327107407.40741,1325425925.92593,1378829629.62963,1437755555.55556,1489692592.59259,1531151851.85185,1661529629.62963,1725351851.85185,1410796296.2963,1601366666.66667,1867733333.33333,2033085185.18518
GDP (current US$),NY.GDP.MKTP.CD,Argentina,ARG,423627422092.49,530158122010.442,545982375701.128,552025140252.246,526319673731.638,594749285413.212,557532320662.955,643628393281.364,524819892360.176,447754683615.225,385740508436.965,487902572164.348,631133384439.944,640591410663.883
GDP (current US$),NY.GDP.MKTP.CD,Armenia,ARM,9260285755.62424,10142111824.5835,10619320682.9474,11121464437.0415,11609513246.7958,10553337518.414,10546136235.5219,11527458709.0158,12457940694.7395,13619290539.2116,12641698583.2152,13878908628.9378,19513474648.2429,24212134631.064
GDP (current US$),NY.GDP.MKTP.CD,Aruba,ABW,2453597206.70391,2637859217.87709,2615208379.88827,2727849720.67039,2790849720.67039,2962907262.56983,2983635195.53073,3092429050.27933,3276184357.5419,3395798882.68156,2558906303.88098,3103184101.51354,3544707788.05664,..
GDP (current US$),NY.GDP.MKTP.CD,Australia,AUS,1148890200292.42,1398701323029.63,1547649835732.89,1577301840200.01,1468597690006.22,1351768945139.11,1207580901578.72,1326882104817,1429733668185.91,1394671325960.57,1330381544909.3,1559033756285.13,1692956646855.7,1723827215334.71
GDP (current US$),NY.GDP.MKTP.CD,Austria,AUT,392275107258.667,431685217367.511,409401816050.531,430190979705.962,442584815286.034,381971148530.543,395837353031.499,417261151844.977,454991174096.102,444596155845.254,435049316955.737,479295362747.047,470941926750.741,516034144115.95
GDP (current US$),NY.GDP.MKTP.CD,Azerbaijan,AZE,52909294791.9262,65952796427.9473,69679944504.1972,74160560123.6902,75239785452.1022,53076235354.746,37866996882.9157,40866627351.9817,47112470051.7701,48174235294.1176,42693000000,54825411764.7059,78807470588.2353,72356176470.5882
GDP (current US$),NY.GDP.MKTP.CD,"Bahamas, The",BHS,10095760000,10070450000,10720500000,10395800000,10974100000,11671900000,11745100000,12236700000,12615800000,13016200000,9958200000,11368900000,13136400000,14338500000
GDP (current US$),NY.GDP.MKTP.CD,Bahrain,BHR,25713271276.5957,28776595744.6809,30749308510.6383,32539468085.1064,33387712765.9574,31125851063.8298,32250132978.7234,35423643617.0213,37802005319.1489,38653318085.1064,34621807712.766,39288670212.766,44383297872.3404,43205000000
GDP (current US$),NY.GDP.MKTP.CD,Bangladesh,BGD,115275540861.36,128607482927.468,133310747047.528,149998957327.029,172886611131.255,195146607942.291,265224514652.992,293732447017.328,321362751137.574,351231655150.827,373979442653.343,416271647002.435,460131688909.301,437415331040.994
GDP (current US$),NY.GDP.MKTP.CD,Barbados,BRB,4534772750,4662343500,4622687600,4693452700,4711838650,4738650450,4848210350,5000457800,5128345200,5367139250,4779756550,4945276000,5840673700,6393564189.61345
GDP (current US$),NY.GDP.MKTP.CD,Belarus,BLR,57231904542.8755,61762382327.9319,65685890438.8922,75527558966.4473,78812805039.0743,56454889146.6088,47723545321.259,54725302249.8088,60031173807.7196,64410122847.3508,61371755326.2351,69673747131.87,73775179924.603,71857382745.6066
GDP (current US$),NY.GDP.MKTP.CD,Belgium,BEL,481420882905.001,523330354138.133,496152879924.727,521791015247.06,535390200131.018,462335574841.484,476062757356.927,502764720556.354,543299066998.902,535865804349.803,526021513474.243,600904461226.347,583613982019.263,632216577075.109
