"Data Source","World Development Indicators",

"Last Updated Date","2024-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33251396.6480447","34636871.5083799","37944134.0782123","46530726.2569832","62011173.1843575","76829608.9385475","81112849.1620112","86827932.9608939","97657541.8994413","126767039.106145","146021229.050279","162157541.899441","178492178.77095","189653631.284916","107412290.502793","70184357.5418994","110950837.988827","52085474.8603352","89000000","95987150.8379888","106228491.620112","110067039.106145","115463687.150838","105657541.899441","87015083.7988827","","","","",
"Africa Eastern and Southern","AFE","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","3954255311.57714","4266972919.50683","4652469860.97053","5068470585.57855","5772589552.84738","6446212832.0192","6956292290.91057","7267971124.81878","9865655930.4797","12109596684.4456","13556605955.5285","13309448215.8006","13727546044.6275","15510674509.6139","19479776922.0125","27083138936.13","30569668439.9418","27797474656.5099","30115017671.7347","26658492224.7333","20056044470.0138","23128755485.0911","30343568013.5942","33656562937.5877","36331452304.7384","42620013967.1711","44166842317.0592","42540493667.9985","40103654559.8003","40813219131.9608","46006507567.0396","43841309411.2417","45385116193.6002","41599009593.4377","39274062958.8057","41990518986.9855","38441560243.0479","37811293459.8374","51533906305.0453","63820744710.6111","70174215743.6467","71036605273.7167","79186692306.02","79934568508.4583","84063672475.5931","96452019193.6163","101861254400.434","100793950175.285","98076863961.702","98179848314.1096","92818944732.6605","88561327242.2565","100601555322.315","109667450248.4","108000030668.097","96187622189.12","111709257870.967","123084838264.64","122195627154.552",
"Afghanistan","AFG","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","720102301.122099","765118992.088639","917178696.919335","1029629684.80013","1142360046.64419","1729987533.8788","1803409257.3226","1632708763.90134","1985663504.69017","2453398176.74875","2485646144.41251","2316811184.00276","2352575876.40564","2185129260.81956","745351407.840014","662076240.50029","1112110510.83443","1324078917.64664","1502305214.37745","1211676168.75713","1477807909.60452","",
"Africa Western and Central","AFW","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","46454842312.4748","40769555006.2464","29479173977.3143","19867552984.4673","23699893474.3318","19593719383.1772","17695649750.2242","18459215258.9415","15319442794.3605","18334353738.179","20320645626.5646","17812805128.1739","20092391483.0887","24780342204.7038","39100173781.8694","47636731426.573","51295501681.3395","51078019120.3849","18878502774.1882","17797384971.6075","18688350737.7075","20593192315.3562","23960281107.5138","27630782699.3666","32683010646.433","38405486097.7093","44451482001.1193","53554311187.6064","47081629502.7801","48588710176.4672","59455394494.9178","64073866355.4443","83184103828.7087","93092706243.167","78194377800.6325","68227085477.517","68250500128.1182","80139245687.9794","93794121525.1637","93519199478.8334","111134864753.103","111624949254.858","105188321504.15",
"Angola","AGO","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","201954998.155662","225195556.946183","336060078.954402","407258906.250796","198301075.068459","263860205.184102","346103353.081092","559731744.44128","712475146.033577","1102692810.98514","1446628298.61267","1892429939.09323","2218726338.51503","3064975557.40344","3592291032.01137","3805982754.93625","4659178394.57709","5638540637.0127","6388462255.72409","6476196121.9122","5144852547.39742","3562823565.77482","4849217241.746","4814290010.78495","4351324875.66028","3425685990.27693","4349776656.42026","7777103530.47245","6782361220.4058",
"Albania","ALB","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","155437017.591292","103517382.413088","120269912.675311","145590152.063722","150276373.534804","160768481.136016","176816057.456316","231427088.171808","300144345.119245","356372378.906736","436345835.475164","565555579.564863","643783955.401947","626007337.268836","650270996.278917","729861658.409619","568493539.354978","646451580.33658","704503223.359879","645807585.255282","674241295.28566","801776467.950801","929587978.023759","963568291.739763","933423400.828348","1103656986.08964","1236498023.33506","1355650143.57395",
"Andorra","AND","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54881057.6640636","53442213.9115875","60658554.4924704","85583595.2691321","106005355.427127","109902934.656203","118829872.651228","134512419.546087","146737273.126409","133257512.588937","127640000.667679","132848209.32989","118740169.057252","122572013.839542","120295746.024816","103395506.273569","108365814.741959","112471057.925521","116194114.220719","115910390.740867","107937532.294239","135068943.409325","120889983.652106","",
"Arab World","ARB","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","12397956928.9003","14495881322.922","16738958543.9854","18832898901.2743","24664560600.986","30783216438.8925","36546615461.2239","36764383649.0589","38800874722.5017","43118759778.0003","43618734080.5492","44139805956.1085","50237191492.2689","54362552680.312","57395925180.0277","61881260582.3895","51683129563.4935","52307156329.6714","53222686759.4975","56852111336.2349","64665610283.783","71983398040.6223","78326995725.8353","78789622419.3101","84898357731.4094","98529906587.7654","83850775522.0331","86189317162.3588","94903654339.4891","105938883358.663","119300389468.702","134614723558.156","153332673829.304","184396613042.408","179857359528.428","210652687919.03","239300006959.659","259681136637.648","267426974514.492","287051780044.987","271766502863.357","272239837330.905","273102998652.719","295627070356.604","297423435616.786","284233933670.908","335942648439.907","424647680450.337","396429975216.326",
"United Arab Emirates","ARE","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","134047411.382922","215781549.134445","682499423.564676","816023719.709414","954745633.539116","1625413197.78333","3163443203.48679","3695723236.17543","3753745573.41324","3823208934.89512","3624897847.99782","2809043857.2596","3192590574.77527","3207028057.74993","3386270770.90711","3799509670.38954","3826750204.304","4113320621.08417","4363116317.07981","3906837374.01253","4452465268.31926","4883138109.50695","6224734404.79433","6531518039.48264","7226412525.52757","9465486725.66372","13754663036.079","14345813478.5568","15247923757.6583","17018107556.1607","19159972770.5922","21449693669.1627","23278420694.3499","27131654186.5214","23314635806.6712","25442288277.74","29401709434.9898","31095868536.4193","31720297181.7563","33605870197.4132","33976082205.582","34442146221.9197","36635868563.6487","38117534622.192","37064624588.1552","35966994036.7597","41525151123.2131","49316804383.9347","",
"Argentina","ARG","Manufacturing, value added (current US$)","NV.IND.MANF.CD","","","","","","","","","","","","","","","","","","","","","","","","33580000000","33567142857.1429","26208333333.3333","29123404255.3191","29979439252.3364","35539428571.4286","23716397789.0112","37867958465.0187","46265967383.3246","50009084512.8715","43181479379.3794","45873469700","44502096300","47723427100","53382062500","53326264700","48089824700","46877339400","43241974900","19884659444.7571","28690164511.4211","31181294718.6206","36449209845.7969","41576107685.8108","49016520323.1183","59795791835.7078","51890313730.722","67123175368.3781","84033764932.5814","83081051122.8397","82864793306.4051","77752039861.1526","84344878153.7785","75200104206.6516","82610787771.5883","73790429479.3891","60629741137.9921","56281582711.3467","76959010333.8702","101317937463.49","104385880648.938",
