"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","obs_status.label"
"Afghanistan","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, May 2024 (%)","Sex: Total","Age (Youth, adults): 25+","2024",12.162,
"Afghanistan","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, May 2024 (%)","Sex: Male","Age (Youth, adults): 25+","2024",11.511,
"Afghanistan","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, May 2024 (%)","Sex: Female","Age (Youth, adults): 25+","2024",25.057,
"Afghanistan","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, May 2024 (%)","Sex: Total","Age (Youth, adults): 25+","2023",12.42,
"Afghanistan","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, May 2024 (%)","Sex: Male","Age (Youth, adults): 25+","2023",11.799,
"Afghanistan","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, May 2024 (%)","Sex: Female","Age (Youth, adults): 25+","2023",24.181,
"Afghanistan","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, May 2024 (%)","Sex: Total","Age (Youth, adults): 25+","2022",12.148,
"Afghanistan","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, May 2024 (%)","Sex: Male","Age (Youth, adults): 25+","2022",11.407,
"Afghanistan","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, May 2024 (%)","Sex: Female","Age (Youth, adults): 25+","2022",23.863,
"Afghanistan","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, May 2024 (%)","Sex: Total","Age (Youth, adults): 25+","2021",9.898,
"Afghanistan","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, May 2024 (%)","Sex: Male","Age (Youth, adults): 25+","2021",9.074,
"Afghanistan","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, May 2024 (%)","Sex: Female","Age (Youth, adults): 25+","2021",14.129,
"Afghanistan","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, May 2024 (%)","Sex: Total","Age (Youth, adults): 25+","2020",9.696,"Real value"
"Afghanistan","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, May 2024 (%)","Sex: Male","Age (Youth, adults): 25+","2020",8.733,"Real value"
"Afghanistan","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, May 2024 (%)","Sex: Female","Age (Youth, adults): 25+","2020",14.076,"Real value"
"Afghanistan","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, May 2024 (%)","Sex: Total","Age (Youth, adults): 25+","2019",8.998,
"Afghanistan","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, May 2024 (%)","Sex: Male","Age (Youth, adults): 25+","2019",8.102,
"Afghanistan","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, May 2024 (%)","Sex: Female","Age (Youth, adults): 25+","2019",12.728,
"Afghanistan","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, May 2024 (%)","Sex: Total","Age (Youth, adults): 25+","2018",8.594,
"Afghanistan","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, May 2024 (%)","Sex: Male","Age (Youth, adults): 25+","2018",7.905,
"Afghanistan","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, May 2024 (%)","Sex: Female","Age (Youth, adults): 25+","2018",11.294,
"Afghanistan","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, May 2024 (%)","Sex: Total","Age (Youth, adults): 25+","2017",8.193,"Real value"
"Afghanistan","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, May 2024 (%)","Sex: Male","Age (Youth, adults): 25+","2017",7.73,"Real value"
"Afghanistan","ILO - Modelled Estimates","Unemployment rate by sex and age -- ILO modelled estimates, May 2024 (%)","Sex: Female","Age (Youth, adults): 25+","2017",9.918,"Real value"
